iter	MultiRMSE
0	9.691411412
1	9.511240944
2	9.337445531
3	9.174854139
4	9.016780091
5	8.86324478
6	8.71788057
7	8.579396117
8	8.448607897
9	8.3158677
10	8.187780106
11	8.065749685
12	7.949183168
13	7.832215139
14	7.722047717
15	7.617974263
16	7.520060273
17	7.419935411
18	7.329097648
19	7.241132057
20	7.152580183
21	7.070605867
22	6.98842677
23	6.911257691
24	6.836946844
25	6.76958715
26	6.704739502
27	6.64326547
28	6.578327387
29	6.516274332
30	6.459570511
31	6.408603178
32	6.356677188
33	6.3035248
34	6.252528637
35	6.203952362
36	6.159076337
37	6.118406765
38	6.077519159
39	6.038987377
40	5.99369226
41	5.948063583
42	5.905991939
43	5.864360545
44	5.824028128
45	5.786180507
46	5.748831129
47	5.712511487
48	5.679750785
49	5.646736941
50	5.61503311
51	5.58574053
52	5.557851749
53	5.530314458
54	5.501481263
55	5.475170192
56	5.449661438
57	5.424574342
58	5.400825023
59	5.378068837
60	5.355960323
61	5.335171763
62	5.316088528
63	5.297520986
64	5.279643683
65	5.260643397
66	5.244109931
67	5.227955028
68	5.213292965
69	5.197267344
70	5.182030701
71	5.1679239
72	5.154286447
73	5.140540092
74	5.127338097
75	5.113920302
76	5.10041263
77	5.08918516
78	5.073570009
79	5.061646689
80	5.051595029
81	5.040966399
82	5.030710428
83	5.019856857
84	5.0096648
85	4.999231018
86	4.9909035
87	4.980002351
88	4.969611377
89	4.96197728
90	4.954017293
91	4.94515389
92	4.936859499
93	4.928867048
94	4.921179974
95	4.911003127
96	4.904062953
97	4.897393174
98	4.890307134
99	4.883269658
100	4.876386232
101	4.870176275
102	4.861811081
103	4.855497745
104	4.84946025
105	4.844279274
106	4.838224143
107	4.830497803
108	4.820197847
109	4.815327921
110	4.808598535
111	4.80337528
112	4.797648498
113	4.792269341
114	4.787566371
115	4.782212607
116	4.778146133
117	4.770909082
118	4.766734076
119	4.762646917
120	4.758922336
121	4.754580083
122	4.751116089
123	4.746886919
124	4.742751815
125	4.739288453
126	4.735261332
127	4.73173814
128	4.727998809
129	4.72078036
130	4.716919478
131	4.713875785
132	4.71030688
133	4.706677715
134	4.703070792
135	4.699261998
136	4.696003435
137	4.692547046
138	4.689665794
139	4.68727331
140	4.681712215
141	4.678546105
142	4.675507063
143	4.672343473
144	4.66940228
145	4.666841034
146	4.664038665
147	4.658389217
148	4.652953687
149	4.649648672
150	4.644933189
151	4.642051895
152	4.639257005
153	4.637015585
154	4.63455106
155	4.630802212
156	4.628919578
157	4.626385558
158	4.623121635
159	4.620805737
160	4.61606
161	4.614445136
162	4.609376104
163	4.606649657
164	4.6044628
165	4.60236605
166	4.601141198
167	4.597590242
168	4.593743648
169	4.589350438
170	4.585008259
171	4.581178075
172	4.57957331
173	4.577760707
174	4.575633884
175	4.572505645
176	4.571083784
177	4.569380056
178	4.567090942
179	4.562920438
180	4.560695605
181	4.559372772
182	4.555115687
183	4.553291049
184	4.551552882
185	4.55019983
186	4.548678875
187	4.546624767
188	4.544616538
189	4.542115749
190	4.54084227
191	4.538322184
192	4.535532503
193	4.534377096
194	4.532134404
195	4.529019078
196	4.524495224
197	4.522447957
198	4.521266167
199	4.520097627
