iter	Passed	Remaining
0	227	113428
1	316	78686
2	418	69363
3	520	64531
4	624	61872
5	732	60300
6	834	58759
7	931	57307
8	1031	56255
9	1139	55828
10	1246	55425
11	1388	56450
12	1499	56180
13	1732	60136
14	1840	59513
15	1943	58789
16	2070	58828
17	2173	58200
18	2291	58022
19	2398	57562
20	2504	57130
21	2601	56521
22	2704	56095
23	2800	55536
24	2902	55141
25	3004	54783
26	3108	54452
27	3213	54172
28	3332	54117
29	3447	54008
30	3588	54287
31	3700	54119
32	3811	53938
33	3926	53812
34	4047	53770
35	4158	53602
36	4255	53250
37	4351	52899
38	4448	52584
39	4543	52254
40	4646	52022
41	4738	51669
42	4829	51324
43	4920	50992
44	5011	50672
45	5102	50358
46	5196	50088
47	5289	49811
48	5381	49533
49	5474	49271
50	5571	49053
51	5698	49093
52	5807	48978
53	5899	48726
54	5991	48475
55	6083	48235
56	6177	48013
57	6266	47752
58	6355	47504
59	6480	47521
60	6575	47323
61	6668	47108
62	6759	46887
63	6851	46674
64	6940	46447
65	7036	46268
66	7132	46096
67	7223	45890
68	7314	45689
69	7403	45481
70	7498	45306
71	7583	45080
72	7679	44920
73	7774	44755
74	7866	44574
75	7959	44407
76	8062	44290
77	8165	44176
78	8263	44035
79	8366	43922
80	8474	43836
81	8571	43691
82	8671	43568
83	8763	43399
84	8857	43246
85	8955	43112
86	9045	42942
87	9140	42791
88	9240	42673
89	9330	42506
90	9427	42372
91	9517	42209
92	9613	42071
93	9704	41914
94	9799	41776
95	9891	41625
96	9978	41457
97	10067	41298
98	10154	41131
99	10245	40983
100	10338	40842
101	10429	40696
102	10524	40564
103	10615	40421
104	10708	40282
105	10797	40132
106	10885	39981
107	10975	39835
108	11062	39682
109	11146	39517
110	11238	39385
111	11327	39242
112	11419	39110
113	11514	38989
114	11612	38878
115	11752	38904
116	11847	38783
117	11939	38652
118	12036	38536
119	12124	38394
120	12214	38260
121	12307	38133
122	12393	37986
123	12485	37859
124	12571	37713
125	12660	37578
126	12759	37474
127	12845	37331
128	12934	37197
129	13024	37069
130	13116	36947
131	13202	36807
132	13295	36686
133	13389	36570
134	13474	36430
135	13568	36314
136	13651	36170
137	13740	36044
138	13830	35919
139	13914	35778
140	14016	35687
141	14108	35569
142	14195	35439
143	14288	35324
144	14373	35190
145	14459	35058
146	14552	34945
147	14641	34822
148	14732	34705
149	14831	34607
150	14919	34483
151	15014	34374
152	15105	34258
153	15193	34137
154	15284	34020
155	15377	33909
156	15468	33794
157	15570	33703
158	15653	33570
159	15749	33468
160	15850	33374
161	15940	33259
162	16027	33137
163	16128	33043
164	16222	32936
165	16314	32825
166	16425	32751
167	16517	32641
168	16605	32523
169	16695	32408
170	16783	32290
171	16872	32176
172	16959	32056
173	17058	31959
174	17144	31839
175	17237	31733
176	17325	31616
177	17412	31499
178	17500	31384
179	17590	31271
180	17678	31157
181	17771	31050
182	17862	30942
183	17955	30837
184	18046	30727
185	18131	30609
186	18220	30498
187	18309	30386
188	18411	30295
189	18503	30190
190	18590	30075
191	18682	29970
192	18774	29864
193	18869	29762
194	18961	29657
195	19050	29547
