index,Date,Route_number,Direction,Board_number,Transport_number,Stop_number,Ident_station,Name_stop,Time_stop,In_people,Out_people,People_inside,Type_Transport
0,2024-04-01,42,Прямое,3125,,,37434.0,Московский вокзал,2024-04-01 05:49:06,1,0,0,Троллейбус
1,2024-04-01,42,Обратное,3125,42_1,,37432.0,Кузнечный пер.,2024-04-01 05:50:40,1,0,1,Троллейбус
2,2024-04-01,42,Обратное,3125,42_1,3.0,37426.0,Автовокзал,2024-04-01 05:56:57,1,0,2,Троллейбус
3,2024-04-01,42,Обратное,3125,42_1,6.0,37423.0,Курская ул.,2024-04-01 05:59:01,0,1,3,Троллейбус
4,2024-04-01,42,Обратное,3125,42_1,7.0,15910.0,"Церковь Святого Иова, по требованию",2024-04-01 06:03:18,1,0,2,Троллейбус
5,2024-04-01,42,Обратное,3125,42_1,10.0,15924.0,Университет кино и телевидения,2024-04-01 06:08:23,2,0,3,Троллейбус
6,2024-04-01,42,Обратное,3125,42_1,13.0,15930.0,"Ст. метро ""Бухарестская""",2024-04-01 06:11:39,3,0,5,Троллейбус
7,2024-04-01,42,Обратное,3125,42_1,14.0,16491.0,"Пражская ул., 14",2024-04-01 06:16:13,0,6,8,Троллейбус
8,2024-04-01,42,Обратное,3125,42_1,17.0,16898.0,Ул. Белы Куна / Пражская ул.,2024-04-01 06:18:10,1,0,2,Троллейбус
9,2024-04-01,42,Обратное,3125,42_1,18.0,15889.0,"Пражская ул., 25",2024-04-01 06:19:45,1,0,3,Троллейбус
10,2024-04-01,42,Обратное,3125,42_1,19.0,15903.0,Администрация Фрунзенского района,2024-04-01 06:21:57,1,1,4,Троллейбус
11,2024-04-01,42,Обратное,3125,42_1,21.0,15349.0,Пражская ул./ Пр. Славы,2024-04-01 06:24:54,0,3,4,Троллейбус
12,2024-04-01,42,Обратное,3125,42_1,22.0,15352.0,Гамбургская пл.,2024-04-01 06:27:51,0,1,1,Троллейбус
13,2024-04-01,42,Прямое,3125,,,15319.0,Гамбургская пл.,2024-04-01 06:48:41,2,0,0,Троллейбус
14,2024-04-01,42,Прямое,3125,42_2,,15443.0,Пражская ул.,2024-04-01 06:50:33,3,0,2,Троллейбус
15,2024-04-01,42,Прямое,3125,42_2,4.0,15447.0,Администрация Фрунзенского района,2024-04-01 06:51:21,5,0,5,Троллейбус
16,2024-04-01,42,Прямое,3125,42_2,5.0,15679.0,Ул. Турку,2024-04-01 06:52:49,4,0,10,Троллейбус
17,2024-04-01,42,Прямое,3125,42_2,6.0,15682.0,"Пражская ул., 32",2024-04-01 06:53:42,4,1,14,Троллейбус
18,2024-04-01,42,Прямое,3125,42_2,7.0,15835.0,Ул. Белы Куна,2024-04-01 06:56:19,8,1,17,Троллейбус
19,2024-04-01,42,Прямое,3125,42_2,8.0,15838.0,"Пражская ул., 14",2024-04-01 06:57:21,5,10,24,Троллейбус
20,2024-04-01,42,Прямое,3125,42_2,9.0,15841.0,Ул. Фучика,2024-04-01 06:58:35,0,2,19,Троллейбус
21,2024-04-01,42,Прямое,3125,42_2,10.0,15871.0,"Ст. метро ""Бухарестская""",2024-04-01 07:01:34,3,1,17,Троллейбус
22,2024-04-01,42,Прямое,3125,42_2,12.0,15873.0,Университет кино и телевидения,2024-04-01 07:03:08,1,2,19,Троллейбус
23,2024-04-01,42,Прямое,3125,42_2,13.0,15877.0,"Бухарестская ул., 6",2024-04-01 07:04:01,2,1,18,Троллейбус
24,2024-04-01,42,Прямое,3125,42_2,14.0,15888.0,Ул. Салова,2024-04-01 07:07:07,0,3,19,Троллейбус
25,2024-04-01,42,Прямое,3125,42_2,16.0,15896.0,Старообрядческий мост,2024-04-01 07:09:09,0,2,16,Троллейбус
26,2024-04-01,42,Прямое,3125,42_2,17.0,37421.0,Днепропетровская ул.,2024-04-01 07:12:12,1,3,14,Троллейбус
27,2024-04-01,42,Прямое,3125,42_2,18.0,37424.0,"Курская ул., 28",2024-04-01 07:13:53,0,2,12,Троллейбус
28,2024-04-01,42,Прямое,3125,42_2,19.0,37425.0,Лиговский пр.,2024-04-01 07:15:03,1,0,10,Троллейбус
29,2024-04-01,42,Прямое,3125,42_2,20.0,37428.0,"Ст. метро ""Обводный канал""",2024-04-01 07:18:30,1,3,11,Троллейбус
30,2024-04-01,42,Прямое,3125,42_2,21.0,37429.0,"Ст. метро ""Лиговский пр.""",2024-04-01 07:20:38,2,0,9,Троллейбус
31,2024-04-01,42,Прямое,3125,,,37432.0,Кузнечный пер.,2024-04-01 07:25:15,0,1,11,Троллейбус
32,2024-04-01,42,Прямое,3125,,,37433.0,Московский вокзал,2024-04-01 07:27:07,0,12,10,Троллейбус
33,2024-04-01,42,Прямое,3125,,,37434.0,Московский вокзал,2024-04-01 07:29:47,1,0,0,Троллейбус
34,2024-04-01,42,Обратное,3125,42_3,,37430.0,"Ст. метро ""Лиговский пр.""",2024-04-01 07:32:34,4,0,1,Троллейбус
35,2024-04-01,42,Обратное,3125,42_3,4.0,37427.0,"Ст. метро ""Обводный канал""",2024-04-01 07:35:52,1,0,5,Троллейбус
36,2024-04-01,42,Обратное,3125,42_3,5.0,37426.0,Автовокзал,2024-04-01 07:37:40,0,2,6,Троллейбус
37,2024-04-01,42,Обратное,3125,42_3,6.0,37423.0,Курская ул.,2024-04-01 07:39:14,2,0,4,Троллейбус
38,2024-04-01,42,Обратное,3125,42_3,7.0,37422.0,Прилукская ул.,2024-04-01 07:40:00,2,1,6,Троллейбус
39,2024-04-01,42,Обратное,3125,42_3,8.0,15924.0,Университет кино и телевидения,2024-04-01 07:47:19,2,1,7,Троллейбус
40,2024-04-01,42,Обратное,3125,42_3,13.0,15930.0,"Ст. метро ""Бухарестская""",2024-04-01 07:50:29,5,1,8,Троллейбус
41,2024-04-01,42,Обратное,3125,42_3,14.0,15933.0,Университет профсоюзов,2024-04-01 07:53:22,2,3,12,Троллейбус
42,2024-04-01,42,Обратное,3125,42_3,15.0,16547.0,Пражская ул.,2024-04-01 07:54:49,0,2,11,Троллейбус
43,2024-04-01,42,Обратное,3125,42_3,16.0,16491.0,"Пражская ул., 14",2024-04-01 07:55:52,0,5,7,Троллейбус
44,2024-04-01,42,Обратное,3125,42_3,17.0,16898.0,Ул. Белы Куна / Пражская ул.,2024-04-01 07:57:02,1,0,4,Троллейбус
45,2024-04-01,42,Обратное,3125,42_3,18.0,15889.0,"Пражская ул., 25",2024-04-01 07:58:45,2,0,5,Троллейбус
46,2024-04-01,42,Обратное,3125,42_3,19.0,15895.0,Ул. Турку,2024-04-01 08:00:11,1,1,6,Троллейбус
47,2024-04-01,42,Обратное,3125,42_3,20.0,15903.0,Администрация Фрунзенского района,2024-04-01 08:01:14,2,2,9,Троллейбус
48,2024-04-01,42,Обратное,3125,42_3,21.0,15349.0,Пражская ул./ Пр. Славы,2024-04-01 08:04:07,3,5,7,Троллейбус
49,2024-04-01,42,Обратное,3125,42_3,22.0,15352.0,Гамбургская пл.,2024-04-01 08:06:59,4,4,5,Троллейбус
50,2024-04-01,42,Прямое,3125,,,15316.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 08:08:17,4,5,0,Троллейбус
51,2024-04-01,42,Прямое,3125,42_4,,15319.0,Гамбургская пл.,2024-04-01 08:27:48,9,1,4,Троллейбус
52,2024-04-01,42,Прямое,3125,42_4,3.0,15443.0,Пражская ул.,2024-04-01 08:29:42,13,2,12,Троллейбус
53,2024-04-01,42,Прямое,3125,42_4,4.0,15447.0,Администрация Фрунзенского района,2024-04-01 08:30:51,8,0,23,Троллейбус
54,2024-04-01,42,Прямое,3125,42_4,5.0,15679.0,Ул. Турку,2024-04-01 08:32:03,9,6,33,Троллейбус
55,2024-04-01,42,Прямое,3125,42_4,6.0,15682.0,"Пражская ул., 32",2024-04-01 08:33:25,1,2,34,Троллейбус
56,2024-04-01,42,Прямое,3125,42_4,7.0,15835.0,Ул. Белы Куна,2024-04-01 08:35:33,11,6,33,Троллейбус
57,2024-04-01,42,Прямое,3125,42_4,8.0,15838.0,"Пражская ул., 14",2024-04-01 08:36:53,7,11,38,Троллейбус
58,2024-04-01,42,Прямое,3125,42_4,9.0,15841.0,Ул. Фучика,2024-04-01 08:38:13,1,9,34,Троллейбус
59,2024-04-01,42,Прямое,3125,42_4,10.0,15867.0,Университет профсоюзов,2024-04-01 08:40:06,1,1,26,Троллейбус
60,2024-04-01,42,Прямое,3125,42_4,11.0,15871.0,"Ст. метро ""Бухарестская""",2024-04-01 08:43:08,9,11,26,Троллейбус
61,2024-04-01,42,Прямое,3125,42_4,12.0,15873.0,Университет кино и телевидения,2024-04-01 08:44:06,1,6,24,Троллейбус
